Entity1,Relationship,Entity2,Evidence,Evidence URL
RIML,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIML,Neuropeptide,Tyramine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIML,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIML,type,"Motor neuron, interneuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIMR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIMR,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIMR,Neuropeptide,Tyramine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIMR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIMR,type,"Motor neuron, interneuron",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIMmainframe.htm
RIPL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIPL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIPL,type,Ring/Pharynx interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIPmainframe.htm
RIPR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIPR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIPR,type,Ring/Pharynx interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIPmainframe.htm
RIR,type,Ring interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIRmainframe.htm
RIS,Neurotransmitter,GABA,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RISmainframe.htm
RIS,Innexin,INX-6,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIS,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIS,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RIS,Receptor,DOP-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RISmainframe.htm
RIS,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RISmainframe.htm
RIS,Receptor,SER-4,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RISmainframe.htm
RIS,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RISmainframe.htm
RIVL,type,"Polymodal (interneuron, motor neuron)",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIVmainframe.htm
RIVR,type,"Polymodal (interneuron, motor neuron)",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RIVmainframe.htm
RMDDL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDDL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDDL,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDDL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDDR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDDR,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDDR,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDDR,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDL,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
