Cell	Lineage Name	Description
P9/10R	AB.prapapap	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P11	AB.plapappa	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
P12	AB.prapappa	Postembryonic blast cells for ventral cord motorneurons, ventral hypodermis, vulva, male preanal ganglion; ventral hypodermis in L1
PCAL	Y.plppd	Sensory neuron of postcloacal sensilla in male
PCAR	Y.prppd	Sensory neuron of postcloacal sensilla in male
PCBL	Y.plpa	Neuron, ending is sheath of postcloacal sensilla in male
PCBR	Y.prpa	Neuron, ending is sheath of postcloacal sensilla in male
PCCL	B.arpaaa	Sensory neuron of postcloacal sensilla in male
PCCR	B.alpaaa	Sensory neuron of postcloacal sensilla in male
PChL	Y.plaa	Hypodermal cell of postcloacal sensilla in male
PChR	Y.praa	Hypodermal cell of postcloacal sensilla in male
PCshL	Y.plppv	Sheath of postcloacal sensilla in male
PCshR	Y.prppv	Sheath of postcloacal sensilla in male
PCsoL	Y.plap	Socket of postcloacal sensilla in male
PCsoR	Y.prap	Socket of postcloacal sensilla in male
PDA	AB.prpppaaaa	Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male
PDB	P12.apa	Motor neuron, process in dorsal cord, cell body in pre-anal ganglion
PDC	P11.papa	Male specific interneuron, preanal ganglion
PDEL	V5L.paaa	Neuron, dopaminergic of postderid sensillum
PDER	V5R.paaa	Neuron, dopaminergic of postderid sensillum
PDEshL	V5L.papp	Sheath of PDE
PDEshR	V5R.papp	Sheath of PDE
PdEsoL	V5L.papa	Socket of PDE
PdEsoR	V5R.papa	Socket of PDE
PGA	P11.papp	Male specific interneuron, preanal ganglion
PHAL	AB.plpppaapp	Phasmid neurons, probably chemosensory
PHAR	AB.prpppaapp	Phasmid neurons, probably chemosensory
PHBL	AB.plapppappp	Phasmid neurons, probably chemosensory
PHBR	AB.prapppappp	Phasmid neurons, probably chemosensory
PHCL	TL.pppaa	Neuron, striated rootlet in male, possibly sensory in tail spike
PHCR	TR.pppaa	Neuron, striated rootlet in male, possibly sensory in tail spike
PHshL	AB.plpppapaa	Phasmid sheath
PHshR	AB.prpppapaa	Phasmid sheath
PHso1L	TL.paa	Phasmid sockets
PHso1R	TR.paa	Phasmid sockets
PHso2L	TL.pap	Phasmid sockets
PHso2R	TR.pap	Phasmid sockets
PLML	AB.plapappppaa	Posterior lateral microtubule cell, touch receptor
PLMR	AB.prapappppaa	Posterior lateral microtubule cell, touch receptor
PLNL	TL.pppap	Interneuron, associated with PLM
PLNR	TR.pppap	Interneuron, associated with PLM
PQR	QL.ap	Neuron, basal body, not part of a sensillum, projects into preanal gangion
PVCL	AB.plpppaapaa	Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB andDB motor neurons, formerly called delta
PVCR	AB.prpppaapaa	Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB andDB motor neurons, formerly called delta
PVDL	V5L.paapa	Neuron, lateral process adjacent to excretory canal
PVDR	V5R.paapa	Neuron, lateral process adjacent to excretory canal
PVM	QL.paa	Posterior ventral microtuble cell, touch receptor
PVNL	TL.appp	Interneuron/motor neuron, post. vent. cord, few synapses
PVNR	TR.appp	Interneuron/motor neuron, post. vent. cord, few synapses
PVPL	AB.plppppaaa	Interneuron, cell body in lumbar ganglion, projects along ventral cord to nerve ring
PVPR	AB.prppppaaa	Interneuron, cell body in lumbar ganglion, projects along ventral cord to nerve ring
PVQL	AB.plapppaaa	Interneuron, projects along ventral cord to ring
PVQR	AB.prapppaaa	Interneuron, projects along ventral cord to ring
PVR	C.aappv	Interneuron, projects along ventral cord to ring
PVT	AB.plpappppa	Interneuron, projects along ventral cord to ring
PVV	P11.paaa	Male specific motor neuron, ventral cord
PVWL	TL.ppa	Interneuron, posterior ventral cord, few synapses
PVWR	TR.ppa	Interneuron, posterior ventral cord, few synapses
PVX	P12.aap	Male specific interneuron, postsynaptic in ring and ventral cord
PVY	P11.paap	Male specific interneuron, postsynaptic in ring and ventral cord
PVZ	P10.ppppa	Male specific motor neuron, ventral cord
QL	AB.plapapaaa	Postembryonic neuroblast, migrates anteriorly
QR	AB.prapapaaa	Postembryonic neuroblast, migrates posteriorly
R1AL	V5L.pppppaaa, R1.aaa	Male sensory rays, neuron, striated rootlet
R1AR	V5R.pppppaaa, R1.aaa	Male sensory rays, neuron, striated rootlet
R1BL	V5L.pppppapa, R1.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R1BR	V5R.pppppapa, R1.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R1stL	V5L.pppppapp, R1.app	Male sensory rays, structural cell
R1stR	V5R.pppppapp, R1.app	Male sensory rays, structural cell
R2AL	V6L.papapaaa, R2.aaa	Male sensory rays, neuron, striated rootlet
R2AR	V6R.papapaaa, R2.aaa	Male sensory rays, neuron, striated rootlet
R2BL	V6L.papapapa, R2.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R2BR	V6R.papapapa, R2.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R2stL	V6L.papapapp, R2.app	Male sensory rays, structural cell
R2stR	V6R.papapapp, R2.app	Male sensory rays, structural cell
R3AL	V6L.papppaaa, R3.aaa	Male sensory rays, neuron, striated rootlet
R3AR	V6R.papppaaa, R3.aaa	Male sensory rays, neuron, striated rootlet
R3BL	V6L.papppapa, R3.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R3BR	V6R.papppapa, R3.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R3stL	V6L.papppapp, R3.app	Male sensory rays, structural cell
R3stR	V6R.papppapp, R3.app	Male sensory rays, structural cell
R4AL	V6L.pppapaaa, R4.aaa	Male sensory rays, neuron, striated rootlet
R4AR	V6R.pppapaaa, R4.aaa	Male sensory rays, neuron, striated rootlet
R4BL	V6L.pppapapa, R4.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R4BR	V6R.pppapapa, R4.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R4stL	V6L.pppapapp, R4.app	Male sensory rays, structural cell
R4stR	V6R.pppapapp, R4.app	Male sensory rays, structural cell
R5AL	V6L.pppppaaa, R5.aaa	Male sensory rays, neuron, striated rootlet
R5AR	V6R.pppppaaa, R5.aaa	Male sensory rays, neuron, striated rootlet
R5BL	V6L.pppppapa, R5.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R5BR	V6R.pppppapa, R5.apa	Male sensory rays, neuron, darkly staining tip, open to outside
R5stL	V6L.pppppapp, R5.app	Male sensory rays, structural cell
R5stR	V6R.pppppapp, R5.app	Male sensory rays, structural cell
R6AL	V6L.ppppaaaa, R6.aaa	Male sensory rays, neuron, striated rootlet
R6AR	V6R.ppppaaaa, R6.aaa	Male sensory rays, neuron, striated rootlet
R6BL	V6L.ppppaapa, R6.apa	Male sensory rays, neuron, not darkly staining nor open to outside
